username,userId,entryTitle,entryTitleId,entryId,entry,entryDate
arcus aortae,1758236,kız arkadaşın instagram'da gelinlik beğenmesi,6187998,95678764,(bkz: kız arkadaşın tatlı telaşı),22.09.2019 20:11
arcus aortae,1758236,erkeğin en çaresiz anı,3798663,95678371,"sevdiği kişinin onu sevmediğini anladığı andır.napacağını bilmez, bi an şaşırır. napsam sevse diye düşünür ama sonra saçma bir çıkmaza girmenin anlamsız olduğunu düşünür. düşünür, kalır öyle.",22.09.2019 20:00 ~ 20:02
arcus aortae,1758236,sözlük yazarlarından tavsiyeler,3540401,95678163,çok sevme ya da sevecek kadar bağlanma.üstadın şiirini oku bence (bkz: bağlanmayacaksın).,22.09.2019 19:55
arcus aortae,1758236,vergi iade fişi toplamış efsane nesil,6187132,95660174,(bkz: fiş toplayan efsane nesil)(bkz: aramaya inanmak),22.09.2019 09:12
arcus aortae,1758236,acil doktorlarının gaita testi yaptırmaması,6187059,95642149,(bkz: nick entry uyumu),21.09.2019 20:42 ~ 20:43
arcus aortae,1758236,ben özlemedim ki seni kedi özledi,999987,95604056,pussy magnet kişisinin beyanı.,20.09.2019 20:52
arcus aortae,1758236,sarhoşken entry girmek,36563,95565943,"şu an, evet yine şu an. senin için aldığım şarabı sensiz içiyorum. diyeceğim bi şey yok.",19.09.2019 22:02
arcus aortae,1758236,düşün ki o bunu okuyor,3965692,95525420,bu kadar çok bahaneyi bana yığmak için keşke bu kadar beklemeseydin beni de oyalamasaydın be insafsızın kızı.,18.09.2019 22:27
arcus aortae,1758236,debe olmak için tehdit etmek,4894981,95483314,"o debe buraya gelecek. yoksa tüm entrylerini eksilerim diyen suserler son günlerde gün yüzüne çıkmaya başladı.hadi bakalım, yiyorsa bunu da eksileyin*.",17.09.2019 22:30
arcus aortae,1758236,doblo kullanan kız,4529474,95483179,"jip kullanan kızdan daha delikanlıdır. sevilir, konuşulur, kezbanlık yapmaz, zamanı gelince yol verir.",17.09.2019 22:28
arcus aortae,1758236,benzin zamlarına karşı protesto,1550214,95482874,"isterse 10 lira olsun, ben hep 50 liracılar olduğu sürece kimse tınlamaz bile.",17.09.2019 22:20
arcus aortae,1758236,17 eylül 2013 galatasaray real madrid maçı,4002429,95482801,acısını yarın çıkaracağımız maç.,17.09.2019 22:18
arcus aortae,1758236,yazarların kumarda kaybettikleri toplam para,6182795,95482689,"iddaa'lar 50 lirayı bulmuştur, hepsinde tek maçta yattı.yılbaşı biletleri bi kere amorti çıktı sıfırladık, bi keresinde de 15 liralık çeyreğe bi şey çıkmadı ordan da 15 lira kayıp.toplamda 70 lira gibi bi rakam. ne sandınız.",17.09.2019 22:15
arcus aortae,1758236,hayrettin'in insanları taciz ettiği video,6182904,95482589,(bkz: hayrettin kim amk),17.09.2019 22:13
arcus aortae,1758236,samsunlu kızlar,795179,95469795,"üstteki entryi artırıyorum ve erkeğinden, kızından her şeyinden uzak durulmalı diyorum.sebebini sorma, istersen dene.",17.09.2019 16:03
arcus aortae,1758236,pazar gecesi banyodan sonra hatırlanan ödev,1849202,95399099,"bi de bunun tam uykuya dalarken akla geleni vardır, dillere destan.her şeyin tamdır, çişini bile yapmışsındır. ışığını kaparsın, yatağa uzanırsın. gözünün önüne, matematik öğretmeninin verdiği o iki yüz sayfalık kitabın sayfaları tek tek gelir. içinden lan yoksa o adam bu kitaptan ödev mi vermişti dersin. sonra yok ya hem verse de onun yarın dersi yok ki dersin ve yatayım dersin. içinde bi kuşku kalır ve yüzünü buruşturarak ışığı açarsın. elin çantana korkarak girer ve o mavi kitabı açtığın an gerçekle yüz yüzesindir ödev karşına çıkar. mecbur yaparsın.",15.09.2019 23:18
arcus aortae,1758236,whatsapp'a girdiği halde mesajınızı açmayan insan,5505937,95398762,doğrusunu yapan insandır. eskiden whatsapp mı vardı? mektubuna anında karşılık mı veriyordu ya da her mesajını cevaplıyor muydu?senin kölen mi? her dediğine cevap vermek zorunda mı? belki o anda kısıtlı bi zamanı var ve daha önemli işler yapıyor. mecbur mu senin egonu tatmin etmeye ya da dopamin seviyeni artırmaya?,15.09.2019 23:11
arcus aortae,1758236,sadece erkeklerin anlayabildiği cumartesi olayı,3883640,95354796,"bu gece beni benden almıştır. ne yapacağımı bilemiyorum.onlarca öneri geldi, yine yapamadım.",14.09.2019 22:22
arcus aortae,1758236,iki nerd sevişirken kurulan ilk cümle,6157350,95168595,"evet, hangi newton yasasına göre başlıyoruz?",10.09.2019 18:03
arcus aortae,1758236,10 eylül 2019 aydan gelen köpek sesleri,6173489,95138508,(bkz: işitsel halüsinasyon),10.09.2019 00:43 ~ 00:44
arcus aortae,1758236,8 eylül 2019 türkiye sırbistan voleybol maçı,6170979,95085507,çirkef hakeme rağmen alacağımız maç.,08.09.2019 22:01
arcus aortae,1758236,fenerbahçe bursaspor maçında sigara içen çocuk,6172148,95080819,(bkz: çocuk adam),08.09.2019 20:15
arcus aortae,1758236,hardal sos,346236,95072977,"et ile birleşince eti orgazmik yiyecek kıvamına getiren doğaüstü şey.sanırım, kendisiyle yakında duygusal bağ kurmaya başlayacağım.",08.09.2019 16:38
arcus aortae,1758236,şerit değiştirirken sinyal veren dolmuş şoförü,2188497,95052960,"sinyal vermesin zahmet oluyor sağ olsun, biz artık vermeyeceğini biliyoruz ve ona göre hareket ediyoruz ama bi zahmet aynaya baksın da kazaya mahal vermesin isteğimiz bu.",08.09.2019 01:55
arcus aortae,1758236,şerit ihlali,2609726,95052914,"ankara’da minibüsler ve taksiciler tarafından sıkça yapılan hastalık.bunun da artık bi cezası olmalı, sen yolunda kurallara uyup giderken sinyal vermeden başkasının önüne kırmak nedir sorarım sizlere.",08.09.2019 01:54
arcus aortae,1758236,avicii,2271142,95052685,iyi ki doğdun avicii. (bkz: rip),08.09.2019 01:47
arcus aortae,1758236,ingilizce öğretmenlerinin ingilizce bilmemesi,2645102,95052236,"yakın tanıdığım bir ingilizce öğretmeninden hayatımda ingilizce tek bi cümle duymayarak katıldığım önermedir.adam hayatında ingilizce konuşmamış, ilkokulda çalışmak rahat deyip kitabı açıp okuyor ve ders anlatmış oluyor. nasıl bi eğitim sistemimiz var anlamıyorum.",08.09.2019 01:37
arcus aortae,1758236,betizmmm,5247817,95051663,"30 saniye dayanabildim ve ülkem adına bundan utandım.psikolojisi bozuk desem psikolojisi bozuk insanlara yazık etmiş olurum. çok farklı bi tür bu, çok.",08.09.2019 01:25 ~ 01:28
arcus aortae,1758236,erkek yazarlardan kadın yazarlara sorular,5412246,95026624,kendini ağırdan satan erkekle mi yoksa aşırı istekli görünen ve cool hareketler yapmayan erkekle mi çıkarsınız?,07.09.2019 17:06
arcus aortae,1758236,zaz dinleyip amelie izleyen türk kızı,3038394,94833420,küt saçlı ve beyaz tenli cana yakın kızdır.,03.09.2019 12:13
arcus aortae,1758236,ne ne bağlacının hatalı kullanılması,538525,94832993,bu bağlacı doğru şekilde kullanan kitap yazarını ya da editörü daha görmedim.o kadar zor değil yani ingilizce kursunda bunu öğrenmek için paralar akıtırsınız ama konu türkçe olunca bunu doğru kullanmak umurunuzda bile olmaz.,03.09.2019 12:01
arcus aortae,1758236,alım gücünün düştüğünü gösteren küçük detaylar,5659151,94778482,"ısınmak için doğalgaz kullanmak yerine daha kalın giyinmek.sanırım, bu kış vatandaşın çoğu bunu uygulayacak.",02.09.2019 05:31
arcus aortae,1758236,an diye birşeyin olmaması,6164037,94777873,an kendi başına bi hiçtir tabi ama yaşayan canlı varsa an da vardır.,02.09.2019 04:24
arcus aortae,1758236,türkiye'de her geçen gün zorlaşan şeyler,6164039,94777864,"samimi insan bulmak. evet, sanırım böyle bi insan yok artık burda. herkes çıkarına bakıyor. yaşam şartları böyle yaptı deyip de üstünü örtüyorlar. *",02.09.2019 04:23
arcus aortae,1758236,norm erman,3404620,94260624,nerelerdesin be erman. ender ile görüşüyor mu bile belli değil.çok merak ettiğim. ya bi dissle ortalığı yıkıp çıkacak ya da asla göremeyeceğiz.,21.08.2019 22:05
