"username","userId","entryTitle","entryTitleId","entryId","entry","entryDate"
"katil bezelye","849811","burnu güzel erkek","6188170","95691124","nemli yerde yetişmiş ataların bir adaptasyonu olarak beniahushdhahşaka lan şaka karadenizspor. hatta bu entryi burnumla yazdım.","23.09.2019 00:30 ~ 00:31"
"katil bezelye","849811","depresyona giren kişiye söylenmemesi gerekenler","5424635","95613557","bu durumda depresyona giren kişi ile tahmini yakınlık derecesi önemlidir. yeteri kadar yakın değilseniz hiç bulaşmayın.yeteri kadar yakınsanız eğer, belki 3 tane bira belki bir ballantines, belki de bir rakı. sadece küçük bir baskın, güzel bir ortam ve kafa sikmemek iyi gelecektir. abartmadan sadece dinleyin. problemlerine çözüm bulmaya çalışmayın. sadece dinleyin. yalnız olmadığını hissettirin. bol bol susun. bırakın kafasındaki fikirleri boşluğa saçmak yerine iletişim kurabildiği bir varlığa aktarsın. sonrasında geçmiş zamanlardaki komik anılarınızdan, mutlu hissettiği kısımlardan anlatmaya başlayarak sürdürebilirsiniz.","21.09.2019 00:02"
"katil bezelye","849811","zsuat","5623441","95549659","asfalt, çöplük, heykel ve cansız manken gibi şeylerin taklidini yaparak oyuncuların psikolojik ve dikkat zaaflıklarından faydalanan youtuber. ayrıca bonkör davranıp ağız sulandıracak şeylerle de rakiplerini yemler ve tuzağına çeker. adam halı taklidi yaparak bile insan vurdu ne desek nafile. sabır + oyunu manipüle etme + pusuculuk = zsuat.","19.09.2019 14:21 ~ 21.09.2019 00:11"
"katil bezelye","849811","zorla flüt çaldıran eğitim sistemi","6182133","95463505","flüt dediğimiz aletin yurt dışındaki ismi ""recorder"" dır. çünkü insanlar kafalarındaki ezgileri basitçe çalarak kaydetmek için kullanır. akordu bozulmaz, içindeki tükürükleri temizlemek dışında bakımı yoktur, taşıması kolaydır. yani melodika ile birlikte müzik eğitiminde en az baş ağrıtacak alettir.ayrıca çalması çok kolaydır. eğer çalamadıysanız ya üstüne gitmediniz, ya öğretmeniniz çok kötüydü, ya da gerçekten çok gerizekalı bir insansınız. hayatımda gördüğüm en gerizekalı insan çatır çatır gitar çalıyor. o zaman ilk 2 sebep daha olası.","17.09.2019 12:53"
"katil bezelye","849811","the guardian'a göre 21. yüzyılın en iyi dizileri","6181328","95448211","rick and morty olmadığı için hatalı olan listedir.","17.09.2019 00:33"
"katil bezelye","849811","renault 9 broadway","394494","95415055","sol framede görünce öldü sandığım araba.","16.09.2019 11:44"
"katil bezelye","849811","barış özcan","975854","95407341","mottosu ""bilim, sanat, tasarım"" olan birisinden sıfırdan bilim, sanat, tasarım beklenen youtuber.adam tabi ki derleme bilgi ile içerik üretecek. daha ne yapsın tasarladığı parçacık hızlandırıcıyla farklı atomları çarpıştırıp, oluşan ışık tayfıyla mona lisa mı çizsin?ayrıca kendisi de diyor ki ""ben bir hikaye anlatıcısıyım"".","16.09.2019 03:43 ~ 08:33"
"katil bezelye","849811","satırla köpeğin patisini kesen cani kadın","6180895","95407218","ne istedin lan el kadar hayvanın patisinden orospu karı.","16.09.2019 03:32"
"katil bezelye","849811","neslican tay","5445049","95401256","başıma birşey gelmeyecekse eğer samimi değil ve hastalıktan prim kasmaya çalışan birisi gibi gözüküyor.umarım sağlığına kavuşur. edit 2: vicdanım hakkında mesaj atanlara insanların öldüğü, yakınlarını kaybettikleri hastalıklardan reklam olup, acıdan beslenip, üstüne reklam almakla vicdanı bir tutmamalarını tavsiye ederim.","16.09.2019 00:07 ~ 01:16"
"katil bezelye","849811","logosunu görünce güvendeyim hissi veren markalar","5348908","95386881","(bkz: izeltaş)(bkz: edelkrone)(bkz: alfa)yerli şirketler olarak ilk 2'si zaten bilindik. sonraki alfa ne derseniz eğer bir süre önce aldığım 3'lü priz. malzeme kalitesi falan çok iyiydi yazayım dedim.","15.09.2019 17:58"
